Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Open,High,Low,Close,Volume,,Open,High,Low,Close,Volume
Date,,,,,,,,,,,
2025-02-28,236.9499969482422,242.08999633789062,230.1999969482422,241.83999633789062,56833400.0,AAPL,,,,,
2025-03-03,241.7899932861328,244.02999877929688,236.11000061035156,238.02999877929688,47088200.0,AAPL,,,,,
2025-02-28,,,,,,MSFT,392.6600036621094,397.6300048828125,386.57000732421875,396.989990234375,32845700.0
2025-03-03,,,,,,MSFT,398.82000732421875,398.82000732421875,386.1600036621094,388.489990234375,22955700.0
