Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-03-02 02:05:00+00:00,86443.1015625,86443.1015625,86362.953125,86362.953125,675284992
2025-03-02 02:10:00+00:00,86294.9921875,86388.296875,86294.9921875,86388.296875,744400896
2025-03-02 02:15:00+00:00,86204.03125,86233.625,86172.65625,86226.4921875,884719616
2025-03-02 02:20:00+00:00,86215.0546875,86272.5234375,86215.0546875,86272.5234375,1569562624
2025-03-02 02:25:00+00:00,86105.359375,86105.359375,86033.109375,86033.109375,75466752
2025-03-02 02:30:00+00:00,85743.7578125,85971.71875,85743.7578125,85971.71875,835659776
2025-03-02 02:35:00+00:00,85774.3671875,85812.3125,85764.34375,85780.2109375,356982784
2025-03-02 02:40:00+00:00,85673.859375,85744.3046875,85673.859375,85744.3046875,0
2025-03-02 02:45:00+00:00,85827.234375,85827.234375,85747.2265625,85765.984375,258721792
2025-03-02 02:50:00+00:00,85680.5390625,85724.4453125,85680.5390625,85724.4453125,372746240
2025-03-02 02:55:00+00:00,85671.1640625,85702.53125,85630.3203125,85689.59375,43257856
2025-03-02 03:00:00+00:00,85796.90625,85796.90625,85754.71875,85754.71875,116576256
2025-03-02 03:05:00+00:00,85850.21875,85955.234375,85850.21875,85868.078125,1390088192
2025-03-02 03:10:00+00:00,85900.640625,85900.640625,85823.5859375,85823.5859375,70791168
2025-03-02 03:15:00+00:00,85843.2421875,85947.515625,85843.2421875,85927.4453125,1015629824
2025-03-02 03:20:00+00:00,85743.15625,85832.2890625,85743.15625,85832.2890625,71573504
2025-03-02 03:25:00+00:00,85822.609375,85822.609375,85759.2734375,85759.2734375,626468864
2025-03-02 03:30:00+00:00,85803.046875,85876.9296875,85803.046875,85876.9296875,270120960
2025-03-02 03:35:00+00:00,85798.0546875,85806.890625,85795.96875,85795.96875,612698112
2025-03-02 03:40:00+00:00,85881.1796875,85916.4765625,85836.1640625,85836.1640625,961525760
2025-03-02 03:45:00+00:00,85985.671875,85985.671875,85896.65625,85896.65625,796745728
2025-03-02 03:50:00+00:00,85987.609375,86088.765625,85987.609375,86088.765625,870354944
2025-03-02 03:55:00+00:00,85876.8125,85963.390625,85876.8125,85963.390625,271355904
2025-03-02 04:00:00+00:00,85787.953125,85832.9765625,85787.953125,85832.9765625,278599680
2025-03-02 04:05:00+00:00,85656.6171875,85692.3671875,85656.6171875,85691.296875,126986240
2025-03-02 04:10:00+00:00,85689.0,85713.15625,85667.765625,85667.765625,527759360
2025-03-02 04:15:00+00:00,85659.7109375,85707.3203125,85659.7109375,85700.296875,648591360
2025-03-02 04:20:00+00:00,85537.1953125,85635.1953125,85537.1953125,85635.1953125,567040000
2025-03-02 04:25:00+00:00,85647.109375,85647.109375,85551.0390625,85551.0390625,492541952
2025-03-02 04:30:00+00:00,85556.28125,85650.609375,85556.28125,85650.609375,191913984
2025-03-02 04:35:00+00:00,85523.25,85553.7890625,85523.25,85549.765625,293343232
2025-03-02 04:40:00+00:00,85697.0546875,85697.0546875,85558.578125,85558.578125,796502016
2025-03-02 04:45:00+00:00,85733.3515625,85795.7421875,85733.3515625,85765.8359375,690720768
2025-03-02 04:50:00+00:00,85735.6875,85735.6875,85711.6328125,85723.265625,606691328
2025-03-02 04:55:00+00:00,85680.6953125,85748.1171875,85680.6953125,85748.1171875,55250944
2025-03-02 05:00:00+00:00,85651.046875,85701.421875,85647.2734375,85701.421875,582291456
2025-03-02 05:05:00+00:00,85734.5859375,85734.5859375,85712.9453125,85712.9453125,156225536
2025-03-02 05:10:00+00:00,85809.1953125,85809.1953125,85755.7265625,85755.7265625,1677312
2025-03-02 05:15:00+00:00,85846.5859375,85876.7421875,85836.671875,85876.7421875,173531136
2025-03-02 05:20:00+00:00,85856.046875,85856.046875,85826.90625,85837.0,73572352
2025-03-02 05:25:00+00:00,85885.359375,85892.609375,85885.359375,85886.2734375,30656512
2025-03-02 05:30:00+00:00,85940.390625,85949.421875,85893.6796875,85893.6796875,825765888
2025-03-02 05:35:00+00:00,85959.8203125,85970.875,85934.9140625,85969.6875,1041993728
2025-03-02 05:40:00+00:00,85847.34375,85924.46875,85847.34375,85924.46875,146202624
2025-03-02 05:45:00+00:00,85824.96875,85863.1171875,85824.96875,85852.484375,688926720
2025-03-02 05:50:00+00:00,85837.8515625,85852.171875,85837.8515625,85841.2890625,724164608
2025-03-02 05:55:00+00:00,85900.9765625,85900.9765625,85830.4921875,85830.4921875,124907520
2025-03-02 06:00:00+00:00,86049.5546875,86049.5546875,85914.578125,85914.578125,48427008
2025-03-02 06:05:00+00:00,85968.78125,86054.125,85958.140625,86054.125,812670976
2025-03-02 06:10:00+00:00,85974.4375,86039.734375,85974.4375,86039.734375,264181760
2025-03-02 06:15:00+00:00,85907.3125,85974.6328125,85907.3125,85974.6328125,1563949056
2025-03-02 06:20:00+00:00,86078.546875,86078.546875,85980.71875,85980.71875,751411200
2025-03-02 06:25:00+00:00,86154.3125,86154.3125,86084.4296875,86084.4296875,905664512
2025-03-02 06:30:00+00:00,86219.7578125,86271.859375,86203.34375,86271.859375,374585344
2025-03-02 06:35:00+00:00,86284.34375,86300.6953125,86211.7890625,86211.7890625,810934272
2025-03-02 06:40:00+00:00,86266.9453125,86266.9453125,86247.0078125,86259.2890625,507772928
2025-03-02 06:45:00+00:00,86392.6484375,86392.6484375,86279.171875,86279.171875,1156493312
2025-03-02 06:50:00+00:00,86288.8984375,86448.6484375,86288.8984375,86448.6484375,797552640
2025-03-02 06:55:00+00:00,86237.953125,86306.1875,86237.953125,86238.90625,185188352
2025-03-02 07:00:00+00:00,86195.03125,86275.484375,86195.03125,86240.5703125,572254208
2025-03-02 07:05:00+00:00,86173.3125,86185.2421875,86141.5078125,86185.2421875,658737152
2025-03-02 07:10:00+00:00,86117.34375,86188.8203125,86117.34375,86182.8515625,129845248
2025-03-02 07:15:00+00:00,86089.6796875,86128.9921875,86089.6796875,86128.9921875,1423661056
2025-03-02 07:20:00+00:00,86137.4375,86137.4375,86067.6015625,86067.6015625,12058624
